a52dec 0.7.4-10
aalib 1.4rc5-13
accountsservice 0.6.55-1
acl 2.2.53-2
adapta-gtk-theme 3.95.0.11-1
adobe-source-code-pro-fonts 2.030ro+1.050it-5
adwaita-icon-theme 3.34.3-1
alsa-lib 1.2.1.2-2
alsa-plugins 1.2.1-1
alsa-topology-conf 1.2.1-1
alsa-ucm-conf 1.2.1.2-1
android-studio 3.5.2.0-1
android-tools 29.0.5-1
android-udev 20191103-1
aom 1.0.0.errata1-1
apache 2.4.41-1
appstream-glib 0.7.16-2
apr 1.7.0-1
apr-util 1.6.1-5
arc-icon-theme 20161122-2
arch-audit 0.1.11-1
archlinux-appstream-data 20191128-1
archlinux-keyring 20191018-2
argon2 20190702-2
aria2 1.35.0-1
aribb24 1.0.3-2
aspell 0.60.8-1
at-spi2-atk 2.34.1-1
at-spi2-core 2.34.0-1
atk 2.34.1-1
atkmm 2.28.0-1
attr 2.4.48-2
audit 2.8.5-6
augeas 1.12.0-1
autoconf 2.69-6
automake 1.16.1-2
avahi 0.7+18+g1b5f401-3
awesome-terminal-fonts 1.1.0-2
babl 0.1.72-1
baobab 3.34.0-1
bash 5.0.011-2
bash-completion 2.10-1
bc 1.07.1-3
bcg729 1.0.4-4
binutils 2.33.1-2
bison 3.4.2-2
blas 3.9.0-2
bluez 5.52-1
bluez-libs 5.52-1
bolt 0.8-2
boost-libs 1.71.0-4
brltty 6.0-8
brotli 1.0.7-3
btrfs-progs 5.4-1
bubblewrap 0.4.0-1
bzip2 1.0.8-3
c-ares 1.15.0-1
ca-certificates 20181109-2
ca-certificates-mozilla 3.48-1
ca-certificates-utils 20181109-2
cairo 1.17.2+17+g52a7c79fd-2
cairomm 1.12.2-3
cantarell-fonts 1:0.111-1
cblas 3.9.0-2
cdparanoia 10.2-7
cdrtools 3.02a09-2
celt 0.11.3-3
celt0.5.1 0.5.1.3-4
ceph-libs 14.2.1-3
cheese 3.34.0-2
chromaprint 1.4.3-2
chrome-gnome-shell 10.1-3
chromium 79.0.3945.79-1
cifs-utils 6.9-1
clucene 2.3.3.4-10
clutter 1.26.2-2
clutter-gst 3.0.27-2
clutter-gtk 1.8.4-1
cmark 0.29.0-1
cogl 1.22.4-1
colord 1.4.4+9+g1ce26da-1
colord-gtk 0.2.0-1
colord-sane 1.4.4+9+g1ce26da-1
coreutils 8.31-3
cpupower 5.4-3
cracklib 2.9.7-2
cryptsetup 2.2.2-1
cups 2.3.0-4
cups-filters 1.25.13-1
cups-pk-helper 0.2.6-3
curl 7.67.0-3
dav1d 0.5.2-1
db 5.3.28-5
dbus 1.12.16-3
dbus-glib 0.110-1
dconf 0.34.0-1
desktop-file-utils 0.24-1
device-mapper 2.02.186-3
dhcpcd 8.1.2-1
diffutils 3.7-3
djvulibre 3.5.27-5
dkms 2.8.1-1
dleyna-connector-dbus 0.3.0-2
dleyna-core 0.6.0+2+g1c6853f-1
dleyna-renderer 0.6.0-3
dleyna-server 0.6.0+2+geb895ae-1
dmraid 1.0.0.rc16.3-12
dnssec-anchors 20190629-2
docbook-xml 4.5-8
docbook-xsl 1.79.2-5
dosfstools 4.1-3
dotconf 1.3-5
double-conversion 3.1.5-1
e2fsprogs 1.45.4-2
efibootmgr 16-2
efivar 37-3
enchant 2.2.7-1
eog 3.34.1-1
epiphany 3.34.2-1
espeak 1:1.48.04-2
evince 3.34.2-1
evolution-data-server 3.34.2-1
exempi 2.5.1-1
exiv2 0.27.2-1
expat 2.2.9-2
ext4magic 0.3.2-3
faac 1.30-1
faad2 2.9.1-2
fakeroot 1.24-2
ffmpeg 1:4.2.1-4
fftw 3.3.8-1
file 5.37-5
file-roller 3.32.3-1
filesystem 2019.10-2
findutils 4.7.0-2
firefox 71.0-1
flac 1.3.3-1
flex 2.6.4-3
fmt 6.1.2-1
folks 0.13.1-2
fontconfig 2:2.13.91+24+g75eadca-1
freeglut 3.2.1-1
freerdp 1:2.0.0_rc4-7
freetype2 2.10.1-1
frei0r-plugins 1.6.1-7
fribidi 1.0.7-1
fuse-common 3.8.0-1
fuse2 2.9.9-3
fuse3 3.8.0-1
gavl 1.4.0-3
gawk 5.0.1-2
gc 8.0.4-3
gcab 1.3-1
gcc 9.2.0-4
gcc-libs 9.2.0-4
gconf 3.2.6+11+g07808097-5
gcr 3.34.0-1
gd 2.2.5-2
gdbm 1.18.1-3
gdk-pixbuf2 2.40.0-1
gdm 3.34.1-1
gedit 3.34.1-1
gegl 0.4.18-1
geoclue 2.5.5+6+gea52170-1
geocode-glib 3.26.1-1
gettext 0.20.1-3
gfbgraph 0.2.3+23+g5925221-1
ghostscript 9.50-2
giflib 5.2.1-1
gimp 2.10.14-1
git 2.24.1-2
gjs 2:1.58.3-1
glew 2.1.0-1
